"","Var1","Freq"
"1","AAK1",0
"2","AATK",0
"3","ABCA3",0
"4","ABCC3",0
"5","ABCC4",0
"6","ABI1",0
"7","ABL1",0
"8","ABL2",1
"9","ACACA",0
"10","ACACB",0
"11","ACOXL",0
"12","ACSL6",0
"13","ACVR1",1
"14","ACVR1B",2
"15","ACVR1C",0
"16","ACVR2A",3
"17","ACVR2B",1
"18","ACVRL1",0
"19","ADAM10",0
"20","ADAM12",0
"21","ADAM17",0
"22","ADAM18",0
"23","ADAM22",0
"24","ADAM28",0
"25","ADAM29",0
"26","ADAM32",0
"27","ADAM6",0
"28","ADAMTS18",0
"29","ADAMTS19",0
"30","ADAMTS2",0
"31","ADAMTS20",0
"32","ADAMTSL3",0
"33","ADARB2",0
"34","ADCK1",0
"35","ADCK2",0
"36","ADCK4",0
"37","ADCK5",0
"38","ADHFE1",0
"39","ADK",0
"40","ADRBK1",0
"41","ADRBK2",2
"42","AFF1",0
"43","AFF3",0
"44","AFF4",0
"45","AGAP2",0
"46","AIFM1",0
"47","AIFM3",0
"48","AIM1",0
"49","AKAP12",0
"50","AKAP4",0
"51","AKAP6",0
"52","AKAP9",0
"53","AKT1",2
"54","AKT2",0
"55","AKT3",2
"56","ALDH7A1",0
"57","ALK",1
"58","ALPK1",0
"59","ALPK2",0
"60","ALPK3",0
"61","ALS2",0
"62","AMHR2",2
"63","AMZ2",0
"64","ANAPC5",0
"65","ANGPTL4",0
"66","ANKK1",0
"67","APAF1",0
"68","APBB1IP",0
"69","APC",0
"70","AR",0
"71","ARAF",0
"72","ARFGEF1",0
"73","ARHGAP26",0
"74","ARHGAP29",0
"75","ARHGDIB",0
"76","ARHGEF10",0
"77","ARHGEF12",0
"78","ARHGEF7",0
"79","ARID1A",0
"80","ARNT",0
"81","ASH2L",0
"82","ASPH",0
"83","ASPSCR1",0
"84","ASTN1",0
"85","ATF1",0
"86","ATF2",0
"87","ATG9B",0
"88","ATIC",0
"89","ATM",0
"90","ATP10A",0
"91","ATP11A",0
"92","ATP13A5",0
"93","ATP5S",0
"94","ATP8B1",0
"95","ATR",0
"96","ATRX",0
"97","AURKA",1
"98","AURKB",0
"99","AURKC",0
"100","AXIN1",0
"101","AXIN2",0
"102","AXL",3
"103","B3GALT6",0
"104","BAD",0
"105","BAG4",0
"106","BAI1",0
"107","BAI3",0
"108","BAK1",0
"109","BAP1",0
"110","BAT3",0
"111","BAX",0
"112","BCAR1",0
"113","BCKDK",0
"114","BCL10",0
"115","BCL11A",0
"116","BCL11B",0
"117","BCL2",0
"118","BCL2A1",0
"119","BCL2L1",0
"120","BCL2L11",0
"121","BCL2L2",0
"122","BCL3",0
"123","BCL6",0
"124","BCL7A",0
"125","BCL9",0
"126","BCR",0
"127","BGLAP",0
"128","BID",0
"129","BIK",0
"130","BIRC2",0
"131","BIRC3",0
"132","BIRC5",0
"133","BIRC6",0
"134","BLK",2
"135","BLM",0
"136","BLNK",0
"137","BMF",0
"138","BMI1",0
"139","BMP2K",0
"140","BMP4",0
"141","BMPR1A",1
"142","BMPR1B",0
"143","BMPR2",3
"144","BMX",0
"145","BNIP3",0
"146","BOK",0
"147","BRAF",0
"148","BRCA1",0
"149","BRCA2",0
"150","BRCC3",0
"151","BRD2",0
"152","BRD3",0
"153","BRD4",0
"154","BRDT",0
"155","BRF2",0
"156","BRIP1",0
"157","BRSK1",1
"158","BRSK2",0
"159","BTG1",0
"160","BTK",4
"161","BTRC",0
"162","BUB1",0
"163","BUB1B",0
"164","C11orf65",0
"165","C15orf2",0
"166","C15orf21",0
"167","C15orf55",0
"168","C17orf37",0
"169","C1orf86",0
"170","C3orf24",0
"171","C6orf97",0
"172","C9orf96",0
"173","CABC1",0
"174","CACNA1F",0
"175","CACNB2",0
"176","CAD",0
"177","CAMK1",0
"178","CAMK1D",0
"179","CAMK1G",0
"180","CAMK2A",0
"181","CAMK2B",2
"182","CAMK2D",0
"183","CAMK2G",0
"184","CAMK4",2
"185","CAMKK1",0
"186","CAMKK2",1
"187","CAMKV",0
"188","CARD10",0
"189","CARD11",0
"190","CARD14",0
"191","CARD9",0
"192","CARS",0
